Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58063409,"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health",Robert F. Kennedy Jr.,"Jr., Robert F. Kennedy",,"=""""","=""""",0,4.55,Skyhorse,Kindle Edition,934,2021,2021,,2023/05/05,to-read,to-read (#427),to-read,,,,0,0
2834255,JFK and the Unspeakable: Why He Died & Why It Matters,James W. Douglass,"Douglass, James W.",,"=""1570757550""","=""9781570757556""",0,4.33,Orbis Books,Paperback,510,2008,2008,,2023/05/05,to-read,to-read (#426),to-read,,,,0,0
89482,The Modern Middle East: A History,James L. Gelvin,"Gelvin, James L.",,"=""0195167899""","=""9780195167894""",0,3.88,Oxford University Press,Paperback,368,2004,2004,,2023/05/04,to-read,to-read (#425),to-read,,,,0,0
64594,A History of the Modern Middle East,William L. Cleveland,"Cleveland, William L.",,"=""0813340489""","=""9780813340487""",0,4.06,Westview Press,Paperback,608,2004,1993,,2023/05/04,to-read,to-read (#424),to-read,,,,0,0
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172002""","=""9781982172008""",0,4.49,Scribner,Hardcover,464,2022,2022,,2023/05/04,to-read,to-read (#423),to-read,,,,0,0
103487441,Breaking Twitter: Elon Musk and the Most Controversial Corporate Takeover in History,Ben Mezrich,"Mezrich, Ben",,"=""1538707594""","=""9781538707593""",0,0.0,Grand Central Publishing,Hardcover,288,2023,,,2023/04/12,to-read,to-read (#422),to-read,,,,0,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",4,4.72,O'Reilly,ebook,562,,2015,2018/12/28,2019/05/23,"learning, to-read","learning (#5), to-read (#421)",to-read,,,,1,0
54109255,System Design Interview – An insider's guide,Alex Xu,"Xu, Alex",,"=""""","=""""",0,4.30,,Kindle Edition,324,2020,2020,,2021/07/31,"learning, to-read","learning (#11), to-read (#420)",to-read,,,,0,0
30413199,Concurrency in Go: Tools and Techniques for Developers,Katherine Cox-Buday,"Cox-Buday, Katherine",,"=""1491941197""","=""9781491941195""",0,4.27,O'Reilly Media,Paperback,236,2017,,,2021/07/31,"learning, to-read","learning (#15), to-read (#419)",to-read,,,,0,0
61153739,Outlive: The Science and Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",0,4.48,Harmony,Hardcover,496,2023,2023,,2023/03/29,to-read,to-read (#418),to-read,,,,0,0
61058107,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,Tanya Reilly,"Reilly, Tanya",,"=""1098118731""","=""9781098118730""",0,4.44,O'Reilly Media,Paperback,335,2022,,,2023/03/28,to-read,to-read (#417),to-read,,,,0,0
21175196,The Rise and Fall of Ancient Egypt,Toby Wilkinson,"Wilkinson, Toby",,"=""""","=""""",0,4.12,Bloomsbury Paperbacks,Kindle Edition,673,2013,2010,,2022/11/13,currently-reading,currently-reading (#5),currently-reading,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",5,4.04,W.W. Norton & Company,Paperback,498,2005,1997,2023/03/27,2019/05/23,,,read,,,,2,0
26853,The Fate of Reason: German Philosophy from Kant to Fichte,Frederick C. Beiser,"Beiser, Frederick C.",,"=""067429503X""","=""9780674295032""",0,4.49,Harvard University Press,Paperback,410,1993,1987,,2023/03/26,to-read,to-read (#416),to-read,,,,0,0
59149593,"The Watchmakers: A Story of Brotherhood, Survival, and Hope Amid the Holocaust",Harry Lenga,"Lenga, Harry",Scott Lenga,"=""0806541911""","=""9780806541914""",0,4.50,Citadel,Hardcover,352,2022,2022,,2023/03/25,to-read,to-read (#415),to-read,,,,0,0
79816,A Brief History of the Paradox: Philosophy and the Labyrinths of the Mind,Roy Sorensen,"Sorensen, Roy",,"=""0195179862""","=""9780195179866""",0,3.68,Oxford University Press,Paperback,416,2005,2003,,2023/03/24,to-read,to-read (#414),to-read,,,,0,0
82368586,The ChatGPT Millionaire: Making Money Online has never been this EASY (Updated for GPT-4),Neil Dagger,"Dagger, Neil",,"=""""","=""""",0,4.10,,Kindle Edition,116,2023,,,2023/03/16,to-read,to-read (#413),to-read,,,,0,0
10861,Pipe Dreams: A Surfer's Journey,Kelly Slater,"Slater, Kelly",,"=""0060096314""","=""9780060096311""",0,3.80,It Books,Paperback,352,2004,2003,,2023/03/11,to-read,to-read (#412),to-read,,,,0,0
24072897,Deep Learning,Ian Goodfellow,"Goodfellow, Ian","Yoshua Bengio, Aaron Courville","=""""","=""""",0,4.42,The MIT Press,ebook,787,2016,2016,,2021/07/31,"learning, currently-reading","learning (#6), currently-reading (#4)",currently-reading,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham Verghese,"=""""","=""""",0,4.39,Random House,Kindle Edition,208,2016,2016,,2023/02/27,to-read,to-read (#411),to-read,,,,0,0
61108472,"Palo Alto: A History of California, Capitalism, and the World",Malcolm   Harris,"Harris, Malcolm",,"=""031659203X""","=""9780316592031""",0,3.92,"Little, Brown and Company",Hardcover,720,2023,2023,,2023/02/27,to-read,to-read (#410),to-read,,,,0,0
40828954,K: A History of Baseball in Ten Pitches,Tyler Kepner,"Kepner, Tyler",,"=""1984883291""","=""9781984883292""",0,4.10,Random House Large Print Publishing,Paperback,512,2019,2019,,2023/02/26,to-read,to-read (#409),to-read,,,,0,0
28137887,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",5,4.56,Pottermore Publishing,Kindle Edition,735,2015,2000,2023/02/19,2023/01/29,,,read,,,,1,0
45440293,Origins: How The Earth Made Us,Lewis Dartnell,"Dartnell, Lewis",,"=""1784705438""","=""9781784705435""",0,4.16,Vintage,Paperback,320,2020,2019,,2023/02/13,to-read,to-read (#408),to-read,,,,0,0
56233220,The World Before Us: How Science is Revealing a New Story of Our Human Origins,Tom Higham,"Higham, Tom",,"=""""","=""""",0,4.35,Penguin,Kindle Edition,320,2021,,,2023/02/13,to-read,to-read (#407),to-read,,,,0,0
35099718,So You Want to Talk About Race,Ijeoma Oluo,"Oluo, Ijeoma",,"=""1580056776""","=""9781580056779""",0,4.50,Seal Press,Hardcover,248,2018,2018,,2023/02/12,to-read,to-read (#406),to-read,,,,0,0
52582665,We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,"Liu, Simu",,"=""0063046512""","=""9780063046511""",0,4.40,William Morrow,ebook,320,2022,2022,,2023/02/12,to-read,to-read (#405),to-read,,,,0,0
50347443,Imperial China: The Definitive Visual History,DK,"DK, DK",,"=""0744020476""","=""9780744020472""",0,4.50,DK,Hardcover,400,2020,2020,,2023/02/12,currently-reading,currently-reading (#3),currently-reading,,,,1,0
56638514,Ancient Egypt: The Definitive Visual History (DK Classic History),Steven Snape,"Snape, Steven",,"=""0744029244""","=""9780744029246""",4,4.46,DK,Hardcover,400,2021,2021,2023/02/12,2023/01/27,,,read,,,,1,0
5599865,Antony and Cleopatra,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0297845675""","=""9780297845676""",0,3.97,Weidenfeld & Nicolson,Hardcover,470,2010,2010,,2023/02/12,to-read,to-read (#404),to-read,,,,0,0
55711554,"The War That Made the Roman Empire: Antony, Cleopatra, and Octavian at Actium",Barry S. Strauss,"Strauss, Barry S.",,"=""1982116676""","=""9781982116675""",0,4.04,Simon & Schuster,Hardcover,368,2022,2022,,2023/02/12,to-read,to-read (#403),to-read,,,,0,0
61424025,Ancient Rome: The Definitive Visual History,DK,"DK, DK",,"=""0744069823""","=""9780744069822""",0,4.50,DK,Hardcover,400,2023,,,2023/02/12,to-read,to-read (#402),to-read,,,,0,0
7841459,Alexander the Great,Philip Freeman,"Freeman, Philip",,"=""1416592806""","=""9781416592808""",0,4.28,Simon & Schuster,Hardcover,391,2011,2010,,2023/02/12,to-read,to-read (#401),to-read,,,,0,0
287426,Alexander the Great,Robin Lane Fox,"Fox, Robin Lane",,"=""0141020768""","=""9780141020761""",0,4.09,Fisicalbook,Paperback,576,2016,1973,,2023/02/12,to-read,to-read (#400),to-read,,,,0,0
808812,Communicating sequential processes (Prentice-Hall International series in computer science),C.A.R. Hoare,"Hoare, C.A.R.",,"=""0131532715""","=""9780131532717""",3,4.26,Prentice-Hall,Paperback,256,1985,1985,2023/02/12,2023/01/14,learning,learning (#39),read,,,,1,0
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.10,Random House,Hardcover,426,2012,2012,,2023/02/12,to-read,to-read (#399),to-read,,,,0,0
19090072,Cover-Up,Seymour M. Hersh,"Hersh, Seymour M.",,"=""""","=""""",0,4.21,Random House,Kindle Edition,332,2013,,,2023/02/11,to-read,to-read (#398),to-read,,,,0,0
198829,The Price of Power: Kissinger in the Nixon White House,Seymour M. Hersh,"Hersh, Seymour M.",,"=""0671506889""","=""9780671506889""",0,4.12,Summit Books,Paperback,700,1984,1983,,2023/02/11,to-read,to-read (#397),to-read,,,,0,0
78612,Chain of Command: The Road from 9/11 to Abu Ghraib,Seymour M. Hersh,"Hersh, Seymour M.",,"=""0060955376""","=""9780060955373""",0,3.97,Harper Perennial,Paperback,448,2005,2004,,2023/02/11,to-read,to-read (#396),to-read,,,,0,0
143373,The Dark Side of Camelot,Seymour M. Hersh,"Hersh, Seymour M.",,"=""0316360678""","=""9780316360678""",0,3.68,Back Bay Books,Paperback,498,1998,1997,,2023/02/11,to-read,to-read (#395),to-read,,,,0,0
3131525,The Art of Multiprocessor Programming,Maurice Herlihy,"Herlihy, Maurice",Nir Shavit,"=""0123705916""","=""9780123705914""",0,4.00,Morgan Kaufmann Publishers,Paperback,528,2008,2008,,2023/02/11,to-read,to-read (#394),to-read,,,,0,0
31894,Ancient Philosophy,Anthony Kenny,"Kenny, Anthony",,"=""0198752725""","=""9780198752721""",0,3.94,"Oxford University Press, USA",Paperback,341,2006,2004,,2023/02/11,to-read,to-read (#393),to-read,,,,0,0
28789711,SPQR: A History of Ancient Rome,Mary Beard,"Beard, Mary",,"=""1631492225""","=""9781631492228""",0,4.04,Liveright,Paperback,606,2016,2015,,2023/02/11,to-read,to-read (#392),to-read,,,,0,0
34350268,World History: From the Ancient World to the Information Age (DK Ultimate Guides),DK,"DK, DK",Philip Parker,"=""1465462406""","=""9781465462404""",0,4.19,DK,Hardcover,416,2017,,,2023/02/11,to-read,to-read (#391),to-read,,,,0,0
555926,The New Penguin History of The World,J.M. Roberts,"Roberts, J.M.",,"=""0141007230""","=""9780141007236""",0,4.07,Penguin Books,Paperback,1232,2004,1976,,2023/02/11,to-read,to-read (#390),to-read,,,,0,0
17316568,The Sea and Civilization: A Maritime History of the World,Lincoln Paine,"Paine, Lincoln",,"=""140004409X""","=""9781400044092""",0,3.91,Knopf,Hardcover,784,2013,2013,,2023/02/11,to-read,to-read (#389),to-read,,,,0,0
100341327,Quantum in Pictures: A New Way to Understand the Quantum World,Bob Coecke,"Coecke, Bob",Stefano Gogioso,"=""""","=""""",0,3.50,,Kindle Edition,202,2023,,,2023/02/10,to-read,to-read (#388),to-read,,,,0,0
53251982,Peach Blossom Paradise,Ge Fei,"Fei, Ge",Canaan Morse,"=""1681374706""","=""9781681374703""",0,4.09,New York Review Books,Paperback,377,2020,2004,,2023/02/05,to-read,to-read (#387),to-read,,,,0,0
51174528,The Story of China: The Epic History of a World Power from the Middle Kingdom to Mao and the China Dream,Michael Wood,"Wood, Michael",,"=""1250202574""","=""9781250202574""",0,4.18,St. Martin's Press,Hardcover,624,2020,2020,,2023/02/05,to-read,to-read (#386),to-read,,,,0,0
57347786,Powers and Thrones: A New History of the Middle Ages,Dan Jones,"Jones, Dan",,"=""198488087X""","=""9781984880871""",0,4.43,Viking,Hardcover,656,2021,2021,,2023/02/05,to-read,to-read (#385),to-read,,,,0,0
57945316,Babel: An Arcane History,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",3,4.27,Harper Voyager,Hardcover,544,2022,2022,2023/01/29,2022/09/07,,,read,,,,1,0
61132508,Grokking Concurrency,Kirill Bobrov,"Bobrov, Kirill",,"=""1633439771""","=""9781633439771""",0,4.50,Manning Publications,Paperback,225,2023,,,2023/01/29,to-read,to-read (#384),to-read,,,,0,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",0,3.90,Anchor,Paperback,489,2006,2003,,2023/01/27,to-read,to-read (#383),to-read,,,,0,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,4.29,Disney Hyperion Books,Paperback,377,2006,2005,,2023/01/27,to-read,to-read (#382),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0593321200""","=""9780593321201""",0,4.24,Knopf,Hardcover,401,2022,2022,,2023/01/27,to-read,to-read (#381),to-read,,,,0,0
34522426,Anything You Can Imagine,Ian Nathan,"Nathan, Ian",,"=""0008192472""","=""9780008192471""",0,4.32,HarperCollins Publishers Ltd,Hardcover,576,2018,,,2023/01/25,to-read,to-read (#380),to-read,,,,0,0
130950,The Atlas of Tolkien's Middle-Earth,Karen Wynn Fonstad,"Fonstad, Karen Wynn",,"=""026110277X""","=""9780261102774""",3,4.21,HarperCollins Publishers Ltd,Paperback,224,1992,1981,2023/01/25,2022/09/25,,,read,,,,1,0
60018232,The World: A Family History of Humanity,Simon Sebag Montefiore,"Montefiore, Simon Sebag",,"=""0525659536""","=""9780525659532""",0,4.17,Knopf,Hardcover,1344,2023,2022,,2023/01/25,to-read,to-read (#379),to-read,,,,0,0
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374159122""","=""9780374159122""",0,4.25,"Farrar, Straus and Giroux",Hardcover,273,2021,2021,,2023/01/22,to-read,to-read (#378),to-read,,,,0,0
58573237,The Making of Middle-earth: The Worlds of Tolkien and The Lord of the Rings,Christopher A. Snyder,"Snyder, Christopher A.",,"=""1454944757""","=""9781454944751""",4,4.24,Union Square & Co.,Hardcover,368,2022,2013,2022/12/15,2022/10/14,,,read,,,,1,0
50735138,Let There Be Life: An Intimate Portrait of Robert Edwards and His IVF Revolution,Roger Gosden,"Gosden, Roger",,"=""0997599049""","=""9780997599046""",0,5.00,Jamestowne Bookworks,Paperback,392,2019,,,2023/01/18,to-read,to-read (#377),to-read,,,,0,0
59734888,Crimea,Orlando Figes,"Figes, Orlando",Malk Williams,"=""""","=""""",3,4.06,Audible Studios,Audible Audio,21,2018,2010,2022/01/28,2021/12/01,,,read,,,,1,0
63079845,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,"Goggins, David",,"=""""","=""""",0,4.48,Lioncrest Publishing,Kindle Edition,312,2022,2022,,2023/01/14,to-read,to-read (#376),to-read,,,,0,0
25066990,Living with a SEAL: 31 Days Training with the Toughest Man on the Planet,Jesse Itzler,"Itzler, Jesse",,"=""1455534676""","=""9781455534678""",0,4.29,Center Street,Hardcover,272,2015,2015,,2023/01/13,to-read,to-read (#375),to-read,,,,0,0
60382891,Saturn Returns: Your Cosmic Coming Of Age,Caggie Dunlop,"Dunlop, Caggie",,"=""1398704199""","=""9781398704190""",0,4.07,Spring,Hardcover,288,2023,,,2023/01/11,to-read,to-read (#374),to-read,,,,0,0
59587771,Kafka: The Definitive Guide,Gwen Shapira,"Shapira, Gwen","Todd Palino, Rajini Sivaram, Krit Petty","=""""","=""""",0,4.41,,Paperback,457,2021,,,2022/07/28,"learning, currently-reading","learning (#36), currently-reading (#2)",currently-reading,,,,1,0
55610313,Conspiracy Theories: A Compendium of History’s Greatest Mysteries and More Recent Cover-Ups,Jamie King,"King, Jamie",,"=""""","=""""",0,3.04,,Kindle Edition,321,2020,,,2023/01/09,to-read,to-read (#373),to-read,,,,0,0
61304408,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Stephen Fry,"=""""","=""""",4,4.58,,Audible Audio,,,1999,2022/09/14,2022/09/01,,,read,,,,1,0
217329,Gotham: A History of New York City to 1898,Edwin G. Burrows,"Burrows, Edwin G.",Mike  Wallace,"=""0195140494""","=""9780195140491""",3,4.28,"Oxford University Press, USA",Paperback,1408,2000,1998,2023/01/09,2021/11/07,,,read,,,,1,0
2369,The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough,"McCullough, David",,"=""0743217373""","=""9780743217378""",0,4.24,Simon & Schuster,Hardcover,608,2001,1972,,2023/01/09,to-read,to-read (#372),to-read,,,,0,0
61963526,"See, Breathe, Move",Andrew Huberman,"Huberman, Andrew",,"=""1398522872""","=""9781398522879""",0,1.00,Simon  Schuster Audio UK,Audiobook,,2023,,,2023/01/08,to-read,to-read (#371),to-read,,,,0,0
58986604,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",Stephen Brusatte,"Brusatte, Stephen",,"=""0062951513""","=""9780062951519""",0,4.39,Mariner Books,Hardcover,528,2022,2022,,2023/01/07,to-read,to-read (#370),to-read,,,,0,0
61304398,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Stephen Fry,"=""""","=""""",4,4.43,,Audible Audio,,,1998,2022/08/01,2022/07/24,,,read,,,,1,0
62296528,Spare,Prince Harry,"Harry, Prince",J.R. Moehringer,"=""0593593804""","=""9780593593806""",0,3.95,Random House,Hardcover,410,2023,2023,,2023/01/05,to-read,to-read (#369),to-read,,,,0,0
60631342,System Design Interview – An Insider's Guide: Volume 2,Alex Xu,"Xu, Alex",Sahn Lam,"=""1736049119""","=""9781736049112""",0,4.52,,Paperback,424,2022,,,2023/01/05,"to-read, learning","to-read (#368), learning (#38)",to-read,,,,0,0
29354072,Essential Scala,Noel Welsh,"Welsh, Noel",Dave Gurnell,"=""""","=""""",5,4.55,Underscore Consulting LLP,ebook,372,2015,,2023/01/04,2022/07/18,learning,learning (#35),read,,,,1,0
7322948,Programming Languages: Principles and Paradigms (Undergraduate Topics in Computer Science),Maurizio Gabbrielli,"Gabbrielli, Maurizio",Simone Martini,"=""1848829132""","=""9781848829138""",0,4.08,Springer,Paperback,460,2010,2005,,2023/01/04,to-read,to-read (#367),to-read,,,,0,0
6429264,Life Ascending: The Ten Great Inventions of Evolution,Nick Lane,"Lane, Nick",,"=""0393065960""","=""9780393065961""",0,4.12,W. W. Norton & Company,Hardcover,352,2009,2009,,2023/01/04,to-read,to-read (#366),to-read,,,,0,0
26530386,"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane,"Lane, Nick",,"=""0393352978""","=""9780393352979""",0,4.18,W. W. Norton & Company,Paperback,368,2016,2015,,2023/01/04,to-read,to-read (#365),to-read,,,,0,0
57747930,Never,Ken Follett,"Follett, Ken",,"=""0593300017""","=""9780593300015""",0,4.08,Viking,Hardcover,816,2021,2021,,2022/12/31,to-read,to-read (#364),to-read,,,,0,0
507952,"Empires of Light: Edison, Tesla, Westinghouse, and the Race to Electrify the World",Jill Jonnes,"Jonnes, Jill",,"=""0375758844""","=""9780375758843""",0,4.06,Random House Trade Paperbacks,Paperback,464,2004,2003,,2022/12/20,to-read,to-read (#363),to-read,,,,0,0
50705318,Scala with Cats,Noel Welsh,"Welsh, Noel",Dave Gurnell,"=""""","=""""",0,4.19,Underscore Consul&#x10fc00;ng LLP,ebook,325,2017,,,2022/05/16,to-read,to-read (#362),to-read,,,,0,0
38840,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,"=""0316796883""","=""9780316796880""",0,4.15,Back Bay Books,Paperback,504,2004,,,2022/12/12,to-read,to-read (#361),to-read,,,,0,0
56895723,Hweryho Proofs: A Long-Form Mathematics Textbook (The Long-Form Math Textbook Series),Jay Cummings,"Cummings, Jay",,"=""""","=""9798595265973""",0,4.59,,Paperback,511,2021,,,2022/12/10,to-read,to-read (#360),to-read,,,,0,0
62040064,The Price of Time: The Real Story of Interest,Edward Chancellor,"Chancellor, Edward",,"=""""","=""""",0,4.22,,Kindle Edition,,2022,,,2022/11/15,to-read,to-read (#358),to-read,,,,0,0
2428710,The Global Achievement Gap,Tony  Wagner,"Wagner, Tony",Barry Levine,"=""0465002307""","=""9780465002306""",0,3.98,Basic Books,Paperback,344,2010,1980,,2021/11/07,to-read,to-read (#147),to-read,,,,0,0
60600084,Principles for Dealing with the Changing World Order: Why Nations Succeed or fail,Ray Dalio,"Dalio, Ray",,"=""""","=""""",0,4.31,,,,,2021,,2022/11/19,to-read,to-read (#359),to-read,,,,0,0
53325,Fingerprints of the Gods: The Evidence of Earth's Lost Civilization,Graham Hancock,"Hancock, Graham",,"=""0517887290""","=""9780517887295""",0,4.17,Three Rivers Press,Paperback,578,1996,1995,,2022/11/13,to-read,to-read (#357),to-read,,,,0,0
874392,Brazen Chariots: A Tank Commander in Operation Crusader,Robert Crisp,"Crisp, Robert",,"=""0393327124""","=""9780393327120""",0,4.12,W. W. Norton  Company,Paperback,224,2005,1961,,2022/11/10,to-read,to-read (#356),to-read,,,,0,0
6572270,Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,"Snyder, Timothy",,"=""0465002390""","=""9780465002399""",0,4.37,Basic Books,Hardcover,524,2010,2010,,2022/11/07,to-read,to-read (#355),to-read,,,,0,0
62047945,When the Heavens Went on Sale: The Misfits and Geniuses Racing to Put Space Within Reach,Ashlee Vance,"Vance, Ashlee",,"=""0062998900""","=""9780062998903""",0,4.24,Ecco Press,ebook,528,2023,,,2022/11/06,to-read,to-read (#354),to-read,,,,0,0
29661679,"Digital Nomads: How to Live, Work and Play Around the World",Andre Gussekloo,"Gussekloo, Andre",Esther Jacobs,"=""9065231285""","=""9789065231284""",0,3.87,Location-Independent Publishers,Paperback,280,2016,,,2022/11/05,to-read,to-read (#353),to-read,,,,0,0
5552,QED: The Strange Theory of Light and Matter,Richard P. Feynman,"Feynman, Richard P.",,"=""0691024170""","=""9780691024172""",0,4.26,Princeton University Press,Paperback,176,1988,1985,,2022/11/05,to-read,to-read (#352),to-read,,,,0,0
60643059,The Network State: How To Start a New Country,Balaji S. Srinivasan,"Srinivasan, Balaji S.",,"=""""","=""""",0,4.02,Amazon Kindle,Kindle Edition,262,2022,,,2022/11/03,to-read,to-read (#351),to-read,,,,0,0
58647975,Viral: The Search for the Origin of COVID-19,Alina Chan,"Chan, Alina",Matt Ridley,"=""""","=""""",0,4.32,Harper,Kindle Edition,416,2021,2021,,2022/10/25,to-read,to-read (#350),to-read,,,,0,0
55643287,How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith,"Smith, Clint",,"=""0316492930""","=""9780316492935""",0,4.73,"Little, Brown and Company",Hardcover,336,2021,2021,,2022/10/23,to-read,to-read (#349),to-read,,,,0,0
